dataset,epoch,batch,sample_id,wrong_audio_1,wrong_audio_2,wrong_audio_3,wrong_audio_4,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,d_neg_min,d_neg_mean,d_neg_max,d_neg_std,mean_minus_min,min_minus_pos,mean_minus_pos
flickr,0,22,16378479902,2457013135,5724838282,20114647684,2852975178,2.1942862076684833e-05,0.0001976787461899221,8.710964175406843e-05,2.3808372134226374e-05,0.00012817185779567808,2.3808372134226374e-05,0.00010919215446847375,0.0001976787461899221,6.318254052020817e-05,8.538378233424737e-05,1.8655100575415418e-06,8.724929239178891e-05
flickr,0,22,7992445091,24042252744,3039296729,2763797266,11592634734,7.430104597005993e-05,5.593379682977684e-05,4.725514372694306e-05,3.130143886664882e-05,7.628274033777416e-05,3.130143886664882e-05,5.269327994028572e-05,7.628274033777416e-05,1.6233821034728393e-05,2.1391841073636897e-05,-4.299960710341111e-05,-2.160776602977421e-05
flickr,0,22,8160650630,5293931250,11592634734,2576730730,2907331116,4.905992318526842e-05,2.1156403818167746e-05,4.4959720980841666e-05,2.894364661187865e-05,2.3104215870262124e-05,2.1156403818167746e-05,2.9540996820287546e-05,4.4959720980841666e-05,9.351837129951367e-06,8.3845930021198e-06,-2.790351936710067e-05,-1.951892636498087e-05
flickr,0,22,10462409376,19203141988,3556545135,2758515235,6206110400,4.051769064972177e-05,7.358285802183673e-05,4.969412839272991e-05,7.152597390813753e-05,3.387666220078245e-05,3.387666220078245e-05,5.7169905630871654e-05,7.358285802183673e-05,1.6385543455873822e-05,2.3293243430089206e-05,-6.6410284489393234e-06,1.6652214981149882e-05
flickr,0,22,5711873937,11592634734,7992445091,4465533640,16061916664,1.1067953892052174e-05,1.506474563939264e-05,1.3079765267320909e-05,1.3044521438132506e-05,1.5284062101272866e-05,1.3044521438132506e-05,1.411827361152973e-05,1.5284062101272866e-05,1.0590461997962037e-06,1.0737521733972244e-06,1.9765675460803322e-06,3.0503197194775566e-06
flickr,0,22,2691638655,15740935269,6234078066,3273177050,4839125742,8.525052180630155e-06,2.661314283614047e-05,1.5304909538826905e-05,1.5816489394637756e-05,4.606640504789539e-05,1.5304909538826905e-05,2.595023670437513e-05,4.606640504789539e-05,1.2461094437925057e-05,1.0645327165548224e-05,6.77985735819675e-06,1.7425184523744974e-05
flickr,0,22,3855021684,8159288296,11240624283,14050207450,2458597516,2.296279853908345e-05,7.946416189952288e-06,1.3637582014780492e-05,1.3510671124095097e-05,7.900433956820052e-06,7.900433956820052e-06,1.0748775821411982e-05,1.3637582014780492e-05,2.8257537829510757e-06,2.84834186459193e-06,-1.5062364582263399e-05,-1.2214022717671469e-05
flickr,0,22,5238039223,19648788718,8687487770,4646959048,7518616268,9.181875611830037e-06,1.32136510728742e-05,2.78509523923276e-05,1.7625809050514363e-05,1.7584534361958504e-05,1.32136510728742e-05,1.9068736719418666e-05,2.78509523923276e-05,5.378062777372496e-06,5.855085646544467e-06,4.0317754610441625e-06,9.88686110758863e-06
flickr,0,22,3618016980,16097395901,3632477323,3951500301,5010098051,5.694095307262614e-06,2.95583367915242e-06,1.964889634109568e-05,1.35140580823645e-05,6.67079029881279e-06,2.95583367915242e-06,1.0697394600356347e-05,1.964889634109568e-05,6.407189014756363e-06,7.741560921203927e-06,-2.7382616281101946e-06,5.0032992930937326e-06
flickr,0,22,6118457210,5711873937,5471813504,5293931250,4126529320,4.4755488488590345e-05,8.723293285584077e-05,6.091236718930304e-05,0.00011637360148597509,0.00016345710901077837,6.091236718930304e-05,0.00010699400263547432,0.00016345710901077837,3.804627531169967e-05,4.6081635446171276e-05,1.6156878700712696e-05,6.223851414688397e-05
flickr,0,22,4070181194,9302649374,2652737499,6724430253,11448459005,4.611515578289982e-06,4.0276037907460704e-05,2.260413020849228e-05,2.34513954637805e-05,7.131355232559144e-05,2.260413020849228e-05,3.941127897633123e-05,7.131355232559144e-05,1.9721187745026577e-05,1.6807148767838953e-05,1.7992614630202297e-05,3.479976339804125e-05
flickr,0,22,8101519312,4403844673,6514167391,8607648628,3632477323,4.021474887849763e-05,7.458351319655776e-05,6.178974581416696e-05,5.488653187057935e-05,5.097044777357951e-05,5.097044777357951e-05,6.0557559663720895e-05,7.458351319655776e-05,8.976621383339674e-06,9.587111890141387e-06,1.0755698895081878e-05,2.0342810785223264e-05
flickr,0,22,6294457492,2814781403,5355516799,6837360244,6777168126,1.3783669601252768e-05,1.3458681678457651e-05,3.794324220507406e-05,7.6003016147296876e-06,9.336835319118109e-06,7.6003016147296876e-06,1.7084765204344876e-05,3.794324220507406e-05,1.2229166075573032e-05,9.484463589615189e-06,-6.183367986523081e-06,3.301095603092108e-06
flickr,0,22,5293931250,11448459005,3771122163,3956642916,23205813700,1.703965972410515e-05,2.8348831619950943e-05,2.2091779101174325e-05,1.2042605703754816e-05,2.193525870097801e-05,1.2042605703754816e-05,2.1104618781464524e-05,2.8348831619950943e-05,5.836590375436933e-06,9.062013077709707e-06,-4.997054020350333e-06,4.064959057359374e-06
flickr,0,22,4704153548,5471813504,17962817298,8804123518,20640774942,2.7872001737705432e-05,3.1390900403494015e-05,2.605844747449737e-05,2.7394911739975214e-05,1.757199424901046e-05,1.757199424901046e-05,2.5604063466744265e-05,3.1390900403494015e-05,5.035256200414092e-06,8.032069217733806e-06,-1.0300007488694973e-05,-2.2679382709611673e-06
flickr,0,22,6228222246,8159288296,7568473960,4746477177,4859208217,7.923478733573575e-06,1.2981442523596343e-05,7.535505574196577e-06,1.026889276545262e-05,1.4489371096715331e-05,7.535505574196577e-06,1.1318802989990218e-05,1.4489371096715331e-05,2.6567142843196317e-06,3.7832974157936405e-06,-3.879731593769975e-07,3.395324256416643e-06
flickr,0,22,24506726286,5827939783,6717280699,11316083454,6118457210,1.683416667219717e-05,6.13570082350634e-05,3.7324261938920245e-05,5.4525011364603415e-05,2.3137637981562875e-05,2.3137637981562875e-05,4.4085979880037485e-05,6.13570082350634e-05,1.4931641374832855e-05,2.094834189847461e-05,6.303471309365705e-06,2.7251813207840314e-05
