sample_index,sample_id,group,correction_type,area_AUD,area_IMG,centroid_distance,components_AUD,components_IMG,GT_overlap_AUD,GT_overlap_IMG
1672,H0MTqgT8UkU_000110,OGL_RESCUE,SHRINK,0.6432955994897959,0.35891661352040816,34.20120048717852,1,1,20913.0,9669.0
1687,HC4f5gUkLME_000171,OGL_RESCUE,SHRINK,0.23863998724489796,0.19248246173469388,3.866391285654622,1,1,11974.0,9658.0
1699,HKN2548Ts6A_000030,IMG_ONLY,SHRINK,0.6787308673469388,0.4428212691326531,10.489479319752975,1,1,12948.0,12918.0
1708,HN4KMLVaT74_000061,OGL_RESCUE,MIXED,0.5248525191326531,0.5231584821428571,4.7848601958316666,1,1,12096.0,12099.0
1719,HQAaW-5IwHo_000002,OGL_RESCUE,SHRINK,0.3481943558673469,0.25723453443877553,9.052091243925602,1,1,8810.0,7170.0
1750,Hjx-S-6U9k0_000000,IMG_ONLY,SHRINK,0.4915298150510204,0.3405811543367347,22.661403513577074,1,1,12288.0,11438.0
1750,Hjx-S-6U9k0_000000,OGL_RESCUE,SHRINK,0.4915298150510204,0.3405811543367347,22.661403513577074,1,1,12288.0,11438.0
1754,HkQHdrxx_v0_000010,OGL_RESCUE,SHRINK,0.3401028380102041,0.28928172831632654,9.74948542641018,1,1,8314.0,6799.0
1772,HyqNo624chI_000114,IMG_ONLY,SHRINK,0.6431760204081632,0.5188934948979592,2.792977315252672,1,1,16796.0,15925.0
1772,HyqNo624chI_000114,OGL_RESCUE,SHRINK,0.6431760204081632,0.5188934948979592,2.792977315252672,1,1,16796.0,15925.0
1787,IBGfcPIw-KY_000000,OGL_RESCUE,MIXED,0.38339046556122447,0.39572704081632654,0.7543873762467728,1,1,8640.0,8640.0
1809,ILv7AQF-ltI_000030,IMG_ONLY,SHRINK,0.6087173150510204,0.41860650510204084,16.513420944731624,1,1,13777.0,13093.0
1809,ILv7AQF-ltI_000030,OGL_RESCUE,SHRINK,0.6087173150510204,0.41860650510204084,16.513420944731624,1,1,13777.0,13093.0
1830,IZ51tUuibq8_000030,IMG_ONLY,SHRINK,0.39196029974489793,0.351741868622449,6.819021883180289,1,1,9791.0,9743.0
1830,IZ51tUuibq8_000030,OGL_RESCUE,SHRINK,0.39196029974489793,0.351741868622449,6.819021883180289,1,1,9791.0,9743.0
1834,IckvLvmXEBk_000330,OGL_RESCUE,MIXED,0.6276506696428571,0.6113081951530612,3.183941074814149,1,1,13564.0,13240.0
1856,Ip0faarZ9c0_000253,IMG_ONLY,SHRINK,0.6327327806122449,0.32509566326530615,35.938792286503705,1,1,14229.0,12613.0
1856,Ip0faarZ9c0_000253,OGL_RESCUE,SHRINK,0.6327327806122449,0.32509566326530615,35.938792286503705,1,1,14229.0,12613.0
