dataset,group,seed,kind,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
flickr,C0,12345,best,15,10106776154,NearFP,0.1961669921875,0.01164294954721863,4638
flickr,C0,12345,best,15,10106776154,FarFP,,,0
flickr,C0,12345,best,15,10106776154,HighAUDFP,0.25947265625,0.009590792838874682,3128
flickr,C0,12345,best,16,10109936483,FP,0.18701171875,0.270165407392281,4897
flickr,C0,12345,best,16,10109936483,NearFP,0.2001190185546875,0.25138339920948616,5060
flickr,C0,12345,best,16,10109936483,FarFP,0.2494964599609375,0.35823882588392264,5996
flickr,C0,12345,best,16,10109936483,HighAUDFP,0.24390625,0.1167095115681234,1945
flickr,C0,12345,best,17,10110769444,FP,0.286376953125,0.2143717987345586,6638
flickr,C0,12345,best,17,10110769444,NearFP,0.267120361328125,0.17427701674277016,7884
flickr,C0,12345,best,17,10110769444,FarFP,0.3370819091796875,0.44516129032258067,3100
flickr,C0,12345,best,17,10110769444,HighAUDFP,0.2728425082781457,0.16393442622950818,5307
flickr,C0,12345,best,18,10111706074,FP,0.276397705078125,0.2741235392320534,2995
flickr,C0,12345,best,18,10111706074,NearFP,0.354156494140625,0.3933680104031209,3076
flickr,C0,12345,best,18,10111706074,FarFP,0.15071614583333334,0.04443254817987152,1868
flickr,C0,12345,best,18,10111706074,HighAUDFP,0.53515625,0.6619318181818182,704
flickr,C0,12345,best,19,10119607346,FP,0.2921295166015625,0.36946039035591277,4355
flickr,C0,12345,best,19,10119607346,NearFP,0.300140380859375,0.3828780382878038,4649
flickr,C0,12345,best,19,10119607346,FarFP,0.3419952392578125,0.3531375166889186,2996
flickr,C0,12345,best,19,10119607346,HighAUDFP,0.16015625,0.09803921568627451,102
flickr,C0,12345,best,20,10119736773,FP,0.9966947115384616,0.9923954372623575,263
flickr,C0,12345,best,20,10119736773,NearFP,0.9966947115384616,0.9923954372623575,263
flickr,C0,12345,best,20,10119736773,FarFP,,,0
flickr,C0,12345,best,20,10119736773,HighAUDFP,,,0
flickr,C0,12345,best,21,10129791115,FP,0.3213043212890625,0.6319744932817126,4391
flickr,C0,12345,best,21,10129791115,NearFP,0.322906494140625,0.6208342529242993,4531
flickr,C0,12345,best,21,10129791115,FarFP,,,0
flickr,C0,12345,best,21,10129791115,HighAUDFP,0.5785361842105263,0.4397031539888683,539
flickr,C0,12345,best,22,10129813456,FP,0.438873291015625,0.5306859205776173,2493
flickr,C0,12345,best,22,10129813456,NearFP,0.4213714599609375,0.5724594107035478,3326
flickr,C0,12345,best,22,10129813456,FarFP,,,0
flickr,C0,12345,best,22,10129813456,HighAUDFP,0.2935267857142857,0.12380952380952381,210
flickr,C0,12345,best,23,10163352444,FP,0.2884063720703125,0.5308641975308642,2673
flickr,C0,12345,best,23,10163352444,NearFP,0.32012939453125,0.5645317026070165,3107
flickr,C0,12345,best,23,10163352444,FarFP,,,0
flickr,C0,12345,best,23,10163352444,HighAUDFP,,,0
flickr,C0,12345,best,24,10165890496,FP,0.491424560546875,0.170162558993183,3814
flickr,C0,12345,best,24,10165890496,NearFP,0.472747802734375,0.20839580209895053,4002
flickr,C0,12345,best,24,10165890496,FarFP,0.687890625,0.18181818181818182,110
flickr,C0,12345,best,24,10165890496,HighAUDFP,0.23205236486486486,0.20642648490749757,1027
flickr,C0,12345,best,25,10173808724,FP,0.116302490234375,0.12125468164794008,2136
flickr,C0,12345,best,25,10173808724,NearFP,0.1211090087890625,0.16574350234341712,2347
flickr,C0,12345,best,25,10173808724,FarFP,,,0
flickr,C0,12345,best,25,10173808724,HighAUDFP,,,0
flickr,C0,12345,best,26,10202025415,FP,0.3350677490234375,0.24580047994514911,5834
