dataset,sample_id,sample_index,RemoveFP,RemoveTP,AddTP,AddFP
vggss,2VFVe0RCn7g_000010,353,208,1233,0,0
vggss,2Vg5WTQZqwI_000022,354,1240,0,1475,1780
vggss,2VptepDtAZ4_000058,355,0,0,0,4316
vggss,2VptepDtAZ4_000071,356,1586,0,1092,2924
vggss,2Vu6HtlYio4_000219,357,10,1666,853,258
vggss,2W4dw8XuetE_000050,358,123,0,0,2329
vggss,2Wk4Y3_dMuc_000440,359,1076,0,0,1675
vggss,2YJpjSldLtg_000495,360,7100,215,0,47
vggss,2YW7WBtqzzQ_000000,361,217,127,0,3514
vggss,2YXcqoFlYFY_000160,362,3014,7064,0,0
vggss,2ZNKLUHeJtg_000030,363,96,738,115,0
vggss,2ZZEtUCIkUw_000030,364,846,1586,362,54
vggss,2ZogsGp-T4o_000040,365,0,1015,181,0
vggss,2_RltCGlGOA_000010,366,3941,0,0,175
vggss,2bCuw7U_Rac_000390,367,257,856,163,0
vggss,2bYyywE97aA_000030,368,904,1176,20,9
vggss,2cEM6Hu90v0_000038,369,1661,143,0,2
vggss,2drXOn18U3Q_000136,370,180,614,7205,231
vggss,2eDP3jKoUd4_000030,371,2284,293,93,57
vggss,2eYaXTKSpMI_000004,372,7852,1721,507,53
vggss,2es7oZzwLWM_000030,373,0,605,741,77
vggss,2f7NnTVQzR0_000150,374,611,0,316,1102
vggss,2ffgd7k0vI8_000040,375,4576,42,462,220
vggss,2g5hx_rynAI_000035,376,7852,0,0,0
vggss,2j4dsRMuj4Y_000079,377,2009,1059,316,1205
vggss,2kHcvpsu_QY_000030,378,485,709,0,7
vggss,2kQCMxf0onU_000036,379,95,1598,1173,822
vggss,2kdJKmgMcxU_000000,380,96,0,1356,901
vggss,2ke9wf3Ajkg_000080,381,257,1034,515,175
vggss,2mQ1JOOs6LE_000054,382,1498,1576,118,53
vggss,2mw1UMcc_Ys_000030,383,1902,0,134,650
vggss,2o4-lEtFb2k_000060,384,2074,1942,55,2454
vggss,2p37j052q3o_000004,385,31,3537,0,392
vggss,2qAlWm3NES8_000034,386,5571,0,0,1359
vggss,2qHRJAQDCDo_000095,387,1119,135,0,1610
vggss,2rW2I6KmWhw_000030,388,46,16,181,4024
