scale,dataset,sample_id,sample_index,readout,precision,coverage,activated_area,gt_nearfp_gap,gt_response,nearfp_response,groupA,ogl_help,aud_better,ogl_minus_aud_iou
144k,vggss,DA2QCyip6mY_000618,1349,OGL,0.9116430020283975,0.5132937431335449,0.4912707270408163,-0.1255916953086853,0.5970426201820374,0.7226343154907227,False,False,True,-0.12147740661111922
144k,vggss,DDoJMpe85o0_000386,1356,AUD,0.2443372633083244,0.9004608392715454,0.5578364158163265,0.0856332778930664,0.8179359436035156,0.7323026657104492,True,True,False,0.15004298897008628
144k,vggss,DDoJMpe85o0_000386,1356,IMG_QUERY,0.26218659002382483,0.9128373861312866,0.5270049426020408,0.07657808065414429,0.8247479796409607,0.7481698989868164,True,True,False,0.15004298897008628
144k,vggss,DDoJMpe85o0_000386,1356,IQR,0.251442342802892,0.906649112701416,0.5457987882653061,0.08268707990646362,0.8230429887771606,0.740355908870697,True,True,False,0.15004298897008628
144k,vggss,DDoJMpe85o0_000386,1356,OGL,0.43741167720342133,0.7743251919746399,0.26795679209183676,0.09150248765945435,0.7456746697425842,0.6541721820831299,True,True,False,0.15004298897008628
144k,vggss,DEXE_V8oBYI_000030,1358,AUD,0.9325081049218981,0.6977769732475281,0.6762197066326531,-0.15656441450119019,0.676758885383606,0.8333232998847961,False,False,True,-0.2735888887966646
144k,vggss,DEXE_V8oBYI_000030,1358,IMG_QUERY,0.937344889465847,0.5414167046546936,0.5219826211734694,-0.22008448839187622,0.5988038182258606,0.8188883066177368,False,False,True,-0.2735888887966646
144k,vggss,DEXE_V8oBYI_000030,1358,IQR,0.933120708171966,0.632321834564209,0.6123844068877551,-0.18889683485031128,0.664574384689331,0.8534712195396423,False,False,True,-0.2735888887966646
144k,vggss,DEXE_V8oBYI_000030,1358,OGL,0.9490165224232887,0.399016410112381,0.3799625318877551,-0.0677652359008789,0.5594775676727295,0.6272428035736084,False,False,True,-0.2735888887966646
144k,vggss,DKH0HIZP284_000070,1368,AUD,0.9771951298073825,0.8232389092445374,0.6187420280612245,-0.06680113077163696,0.7558958530426025,0.8226969838142395,False,False,True,-0.17156561719977503
144k,vggss,DKH0HIZP284_000070,1368,IMG_QUERY,0.9788435004390182,0.6352708339691162,0.47666214923469385,-0.21446585655212402,0.655598521232605,0.870064377784729,False,False,True,-0.17156561719977503
144k,vggss,DKH0HIZP284_000070,1368,IQR,0.9752652762532016,0.7232714891433716,0.5446827168367347,-0.12698620557785034,0.718201220035553,0.8451874256134033,False,False,True,-0.17156561719977503
144k,vggss,DKH0HIZP284_000070,1368,OGL,0.972075225922006,0.6479973793029785,0.48959661989795916,-0.038574934005737305,0.6713569164276123,0.7099318504333496,False,False,True,-0.17156561719977503
144k,vggss,DKPvyyDnRe4_000003,1369,AUD,0.8242820769007638,0.9084612131118774,0.6183633609693877,0.09875935316085815,0.7934533357620239,0.6946939826011658,False,False,True,-0.12506709460432963
144k,vggss,DKPvyyDnRe4_000003,1369,IMG_QUERY,0.8875626011974244,0.8372762203216553,0.5292769451530612,0.2054067850112915,0.7676398754119873,0.5622330904006958,False,False,True,-0.12506709460432963
144k,vggss,DKPvyyDnRe4_000003,1369,IQR,0.8482632541133455,0.8900255560874939,0.5886878188775511,0.1426498293876648,0.7891762852668762,0.6465264558792114,False,False,True,-0.12506709460432963
144k,vggss,DKPvyyDnRe4_000003,1369,OGL,0.8919130154935405,0.6891162395477295,0.43349410076530615,0.07429134845733643,0.699347734451294,0.6250563859939575,False,False,True,-0.12506709460432963
144k,vggss,DNDz_sjBBY0_000230,1374,AUD,0.8643094696306669,0.7356235980987549,0.5692960778061225,0.02232646942138672,0.6989783048629761,0.6766518354415894,False,False,True,-0.10709190240011779
144k,vggss,DNDz_sjBBY0_000230,1374,IMG_QUERY,0.8424864663057682,0.6723675727844238,0.533820950255102,0.0036299824714660645,0.6904861927032471,0.686856210231781,False,False,True,-0.10709190240011779
144k,vggss,DNDz_sjBBY0_000230,1374,IQR,0.848443746430611,0.7082414627075195,0.5583545918367347,0.014990270137786865,0.7001694440841675,0.6851791739463806,False,False,True,-0.10709190240011779
144k,vggss,DNDz_sjBBY0_000230,1374,OGL,0.9707033261250129,0.5617364645004272,0.38707748724489793,0.05346399545669556,0.6340394020080566,0.5805754065513611,False,False,True,-0.10709190240011779
144k,vggss,DUlxiX4ri1Q_000045,1386,AUD,0.2947511400019404,1.0,0.6162507971938775,0.08296370506286621,0.8705453872680664,0.7875816822052002,True,True,False,0.16590086909586088
144k,vggss,DUlxiX4ri1Q_000045,1386,IMG_QUERY,0.47205009457960995,0.7940530776977539,0.3055444834183674,0.07136982679367065,0.7484058737754822,0.6770360469818115,True,True,False,0.16590086909586088
144k,vggss,DUlxiX4ri1Q_000045,1386,IQR,0.3772983269836011,0.9996708631515503,0.481265943877551,0.07879102230072021,0.8255482912063599,0.7467572689056396,True,True,False,0.16590086909586088
