sample_id,sample_index,AddTP,AddFP,RemoveTP,RemoveFP,aud_gt_response,aud_nearfp_response,aud_area,ogl_gt_response,ogl_nearfp_response,ogl_area,ogl_minus_aud_gt_response,ogl_minus_aud_nearfp_response,ogl_minus_aud_area
1FWUnWVX5Xk_000159,234,114,16,271,5140,0.8072754144668579,0.6895896196365356,0.4220942283163265,0.78700190782547,0.6359034776687622,0.3168447066326531,-0.02027350664138794,-0.05368614196777344,-0.10524952168367341
1_0T2ZIjWnw_000031,259,0,0,599,4118,0.8689167499542236,0.6882470846176147,0.3421556122448979,0.8153076171875,0.5894372463226318,0.2481465242346938,-0.05360913276672363,-0.09880983829498291,-0.09400908801020408
1dyFP4MGkIM_000030,270,0,221,6,5248,0.922610878944397,0.7650847434997559,0.418586575255102,0.8688408136367798,0.6924406290054321,0.3182796556122449,-0.05377006530761719,-0.07264411449432373,-0.1003069196428571
1q8kkQhS97g_000140,289,494,3,461,5898,0.7093125581741333,0.6297851800918579,0.4886200573979591,0.7168382406234741,0.5867888927459717,0.3717912946428571,0.00752568244934082,-0.04299628734588623,-0.11682876275510201
1vrJPFfLMvA_000233,296,295,144,0,3705,0.7238119840621948,0.7280398011207581,0.2376434948979592,0.7559909820556641,0.7414986491203308,0.1725526147959183,0.03217899799346924,0.013458847999572754,-0.0650908801020409
21I0YiLHzvg_000038,309,4934,1844,0,98,0.5925219058990479,0.5769026279449463,0.4377192283163265,0.72469562292099,0.6711922883987427,0.5708506058673469,0.13217371702194214,0.09428966045379639,0.13313137755102045
25QsgUI0x8U_000020,313,0,1,154,4693,0.8865883946418762,0.7736902832984924,0.3520408163265306,0.830318808555603,0.6978920102119446,0.2554607780612244,-0.05626958608627319,-0.07579827308654785,-0.0965800382653062
28ehZa0fzmo_000028,316,2,136,55,3711,0.8619104623794556,0.6668789386749268,0.4023038903061224,0.8477694988250732,0.6300884485244751,0.3299984056122449,-0.014140963554382324,-0.03679049015045166,-0.07230548469387749
29ZWMYIEq3g_000141,319,133,440,11,12474,0.8065176010131836,0.7251521348953247,0.5356146364795918,0.8141143321990967,0.6902706623077393,0.2982102997448979,0.007596731185913086,-0.03488147258758545,-0.23740433673469397
2C4aXzGI2eI_000415,327,0,0,1098,5583,0.8435666561126709,0.7313363552093506,0.4659797512755102,0.7654187083244324,0.5803156495094299,0.332828443877551,-0.07814794778823853,-0.15102070569992065,-0.13315130739795922
2U5f3uTl7qg_000167,351,3,449,86,5048,0.8485026359558105,0.7936139702796936,0.3356983418367347,0.8417651057243347,0.7629518508911133,0.2423867984693877,-0.00673753023147583,-0.030662119388580322,-0.09331154336734698
2eYaXTKSpMI_000004,372,22,4,1123,6941,0.7437885999679565,0.5771679878234863,0.4601004464285714,0.7260898351669312,0.5349032878875732,0.2999043367346938,-0.01769876480102539,-0.042264699935913086,-0.1601961096938776
2g5hx_rynAI_000035,376,0,155,122,12960,0.9098162651062012,0.7866992950439453,0.609375,0.8199895620346069,0.6625982522964478,0.351741868622449,-0.08982670307159424,-0.12410104274749756,-0.257633131377551
2j4dsRMuj4Y_000079,377,603,732,147,6047,0.7704092264175415,0.7126200795173645,0.5697943239795918,0.8005872368812561,0.6433639526367188,0.4729551977040816,0.0301780104637146,-0.06925612688064575,-0.09683912627551022
2vcA_vgImHQ_000020,395,0,0,523,4876,0.843744695186615,0.7116779685020447,0.4347696109693877,0.799826443195343,0.6293244361877441,0.3271683673469387,-0.04391825199127197,-0.08235353231430054,-0.107601243622449
3-qCp_EP-5Q_000234,403,0,0,1,4387,0.894050657749176,0.7482390999794006,0.3675462372448979,0.8640269041061401,0.6878916025161743,0.280094068877551,-0.03002375364303589,-0.06034749746322632,-0.08745216836734687
31GOxPXDNkk_000068,405,24,58,12,6108,0.8748154044151306,0.806804358959198,0.5032087053571429,0.8496251106262207,0.7354084253311157,0.3828722895408163,-0.025190293788909912,-0.07139593362808228,-0.12033641581632659
38F6eeIR-s0_000030,410,0,715,0,10247,0.8092831373214722,0.7657836675643921,0.5814732142857143,0.8140753507614136,0.7178992033004761,0.3915019132653061,0.004792213439941406,-0.047884464263916016,-0.1899713010204082
3OlQmVVOzbQ_000250,441,0,0,0,9409,0.9153883457183838,0.8251127004623413,0.5859773596938775,0.8507195711135864,0.7275646924972534,0.3984574298469387,-0.06466877460479736,-0.09754800796508789,-0.18751992984693883
3RSmQOcI9JI_000105,445,2945,86,6,2145,0.6087872982025146,0.927364706993103,0.4904735331632653,0.6687294840812683,0.90570467710495,0.5080117984693877,0.05994218587875366,-0.021660029888153076,0.017538265306122403
3RfBwL7tXuk_000188,446,0,0,1780,10482,0.8027327060699463,0.768944263458252,0.6268136160714286,0.738463282585144,0.6944124698638916,0.3824338329081632,-0.06426942348480225,-0.07453179359436035,-0.24437978316326542
3gR0QBgrzYQ_000020,464,136,10,371,7218,0.8123068809509277,0.7104053497314453,0.6399872448979592,0.8127652406692505,0.6533811688423157,0.4916493941326531,0.0004583597183227539,-0.05702418088912964,-0.14833785076530615
3sYnYraOuIo_000510,483,0,0,191,6031,0.91421240568161,0.8689963817596436,0.4476841517857143,0.8479743003845215,0.7660071849822998,0.3236806441326531,-0.06623810529708851,-0.10298919677734375,-0.12400350765306123
