sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_FINE_EVALSPACE,delta_IQR_FINE_vs_IQR_OLD,delta_IQR_FINE_vs_AUD_FINE,delta_IQR_FINE_EVALSPACE_vs_IQR_FINE,AUD_FINE_raw_reconstruction_max_abs_error,IMG_L4_raw_reconstruction_max_abs_error,AUD_FINE_final_map_max_abs_error,IMG_L4_final_map_max_abs_error,IQR_OLD_final_map_max_abs_error
29,10246013484,0.8345762370250932,0.8750131916839624,0.8460859427048634,0.8543414501057227,0.8419562376436686,0.8422991893883567,-0.012385212462054151,0.007380000618575355,0.0003429517446881247,0.0,0.0,0.0,0.0,0.0
30,10268129763,0.6724718431559502,0.6893435008128822,0.7455874196600437,0.7217775278669004,0.7015331508894141,0.696268748842664,-0.020244376977486267,0.029061307733463937,-0.005264402046750161,0.0,0.0,0.0,0.0,0.0
31,10278084464,0.5673484816665967,0.5605418420941465,0.5662054647549778,0.5645791057308795,0.5662669062443414,0.5661323343035807,0.0016878005134618457,-0.0010815754222552876,-0.00013457194076071932,0.0,0.0,0.0,0.0,0.0
32,10283938426,0.53082954215468,0.5481648449793731,0.5564526593520668,0.5414263866088591,0.5378816434225405,0.5390630464280218,-0.0035447431863185885,0.007052101267860489,0.0011814030054813074,0.0,0.0,0.0,0.0,0.0
33,10289643764,0.6269218381841913,0.6334746138431254,0.6913233872343653,0.6307808555580361,0.6569600627305615,0.6594134173183258,0.02617920717252542,0.030038224546370174,0.0024533545877643004,0.0,0.0,0.0,0.0,0.0
34,10304554474,0.611771128499753,0.6022592791823561,0.6647019285455767,0.605301543520925,0.6284155130398714,0.6292278982971775,0.023113969518946398,0.016644384540118407,0.0008123852573060919,0.0,0.0,0.0,0.0,0.0
35,10308472565,0.6069469518122483,0.6168441577921104,0.6068905534452768,0.6154840099063207,0.6092615330643747,0.6093141554113314,-0.00622247684194599,0.0023145812521263576,5.262234695668777e-05,0.0,0.0,0.0,0.0,0.0
36,10369815925,0.8916659472215028,0.7668343270507785,0.8206428571428571,0.8616836283816528,0.8771264367816092,0.8726813300407741,0.015442808399956376,-0.014539510439893655,-0.004445106740835092,0.0,0.0,0.0,0.0,0.0
37,10389014583,0.6171673217293655,0.5522232364063111,0.6103875774841901,0.5946231820185104,0.6125116306117702,0.6128999447850978,0.017888448593259776,-0.00465569111759534,0.00038831417332763074,0.0,0.0,0.0,0.0,0.0
38,10409146004,0.46003762506057067,0.413597652203936,0.4442581273327203,0.4478335635553801,0.457662787818767,0.4579236632788334,0.009829224263386893,-0.002374837241803651,0.00026087546006636764,0.0,0.0,0.0,0.0,0.0
39,10409351364,0.5689370117029209,0.6755863956215794,0.58721183123097,0.584162700129814,0.5730238025271819,0.573042512897538,-0.011138897602632092,0.004086790824261,1.8710370356167516e-05,0.0,0.0,0.0,0.0,0.0
40,10413912845,0.3261583908656399,0.3151128214098303,0.3531355671687673,0.35696459210731557,0.3360880573920383,0.33597419897637243,-0.020876534715277284,0.009929666526398373,-0.0001138584156658573,0.0,0.0,0.0,0.0,0.0
41,10437048305,0.7165735005287808,0.6120612365727819,0.6730286542122197,0.6749092137488388,0.7007209720518294,0.7008654734896227,0.02581175830299054,-0.0158525284769514,0.0001445014377933207,0.0,0.0,0.0,0.0,0.0
42,10440265465,0.678274340753713,0.7917170874191529,0.707390169945702,0.7791543441771241,0.7034963316600554,0.7075868405244001,-0.07565801251706872,0.025221990906342473,0.0040905088643447,0.0,0.0,0.0,0.0,0.0
43,10441843213,0.7466054453290647,0.7907378970338641,0.7245952197378566,0.757901214669812,0.7343956947871791,0.7337311934408857,-0.02350551988263283,-0.012209750541885556,-0.0006645013462934779,0.0,0.0,0.0,0.0,0.0
44,10446128125,0.6992903478601593,0.7167116281245615,0.6987483308632555,0.7126755052595145,0.6991129819246399,0.6987165479364247,-0.013562523334874621,-0.0001773659355194246,-0.0003964339882152057,0.0,0.0,0.0,0.0,0.0
45,10451898725,0.053039307538489504,0.05456533310316056,0.05401210395158419,0.052750156456435576,0.05305859806678137,0.05305859806678137,0.0003084416103457943,1.9290528291866782e-05,0.0,0.0,0.0,0.0,0.0,0.0
