scale,dataset,sample_id,sample_index,signal,auroc_removefp_vs_removetp,ap_removefp_vs_removetp,auroc_removefp_vs_retainedfp,ap_removefp_vs_retainedfp,ogl_minus_aud_iou,groupA,ogl_help,aud_better
144k,vggss,GHowpWCU9Lo_000030,1607,aud_times_one_minus_query,0.5478872277971193,0.0217105078996869,0.9378818251240932,0.8256449938551669,-0.1295634431665028,False,False,True
144k,vggss,GHowpWCU9Lo_000030,1607,aud_query_ratio,0.6009795890504471,0.024701768833487694,0.387385452462772,0.19095462560354154,-0.1295634431665028,False,False,True
144k,vggss,GIvdJOuBLgI_000340,1609,positive_excess,0.10179971253346908,0.9673096455228098,0.3041967059335299,0.5006016591702519,0.18358466043117358,True,True,False
144k,vggss,GIvdJOuBLgI_000340,1609,aud_minus_iqr,0.14152350092655983,0.9681580327659078,0.3773941187176117,0.5201641293217364,0.18358466043117358,True,True,False
144k,vggss,GIvdJOuBLgI_000340,1609,aud_times_one_minus_query,0.2065014212029865,0.967539808720628,0.5465052870120071,0.5923223957332695,0.18358466043117358,True,True,False
144k,vggss,GIvdJOuBLgI_000340,1609,aud_query_ratio,0.10548982217936907,0.964681818763768,0.31145552956446587,0.48209224109817106,0.18358466043117358,True,True,False
144k,vggss,GUJCLsTnqTA_000174,1621,positive_excess,0.6156366018781393,0.9201186049304463,0.5059093796375074,0.6737131816240571,0.14546466035339867,True,True,False
144k,vggss,GUJCLsTnqTA_000174,1621,aud_minus_iqr,0.7352041930552522,0.9449680729989585,0.5469958434359545,0.6843650392072058,0.14546466035339867,True,True,False
144k,vggss,GUJCLsTnqTA_000174,1621,aud_times_one_minus_query,0.935381741504757,0.9918300989787437,0.6699797541674435,0.7419532462538516,0.14546466035339867,True,True,False
144k,vggss,GUJCLsTnqTA_000174,1621,aud_query_ratio,0.8965682603254272,0.9877002269353877,0.4463039877223458,0.6509081923267876,0.14546466035339867,True,True,False
144k,vggss,GsBd9c0-Mk4_000330,1658,positive_excess,0.14594504629909824,0.8697069248361249,0.5256242807079868,0.6629936505063249,0.17432624600591085,True,True,False
144k,vggss,GsBd9c0-Mk4_000330,1658,aud_minus_iqr,0.1454525509895298,0.8691202454498389,0.5546371900337119,0.6794496365106482,0.17432624600591085,True,True,False
144k,vggss,GsBd9c0-Mk4_000330,1658,aud_times_one_minus_query,0.14486624704956727,0.8686970305266231,0.7179240168596497,0.7809965109473389,0.17432624600591085,True,True,False
144k,vggss,GsBd9c0-Mk4_000330,1658,aud_query_ratio,0.14322383949645948,0.8651024149492834,0.5852137153028335,0.7089230981987544,0.17432624600591085,True,True,False
144k,vggss,GtZEBM9fBts_000005,1660,positive_excess,0.3806083838784649,0.1925460462425474,0.3525721618457728,0.29186035983285036,-0.10136904801544644,False,False,True
144k,vggss,GtZEBM9fBts_000005,1660,aud_minus_iqr,0.3625237373164787,0.20766153719306724,0.36998165370686065,0.30495255665707877,-0.10136904801544644,False,False,True
144k,vggss,GtZEBM9fBts_000005,1660,aud_times_one_minus_query,0.4101702001020351,0.2033038285070783,0.6222208108455318,0.32832701873089937,-0.10136904801544644,False,False,True
144k,vggss,GtZEBM9fBts_000005,1660,aud_query_ratio,0.3635192874553597,0.20246401376130332,0.32681662223235847,0.28653482191276536,-0.10136904801544644,False,False,True
144k,vggss,GvRM_UnjJoE_000030,1665,positive_excess,0.6227251565938716,0.9993975246749283,0.6436978741181625,0.8294306617531533,0.2651523099550456,True,True,False
144k,vggss,GvRM_UnjJoE_000030,1665,aud_minus_iqr,0.6814372778059928,0.9993880181740303,0.6525039874026827,0.8288779347300826,0.2651523099550456,True,True,False
144k,vggss,GvRM_UnjJoE_000030,1665,aud_times_one_minus_query,0.5261871508379888,0.9990955964719812,0.8099382981500368,0.9239277062340265,0.2651523099550456,True,True,False
144k,vggss,GvRM_UnjJoE_000030,1665,aud_query_ratio,0.6081238361266295,0.9993403199238416,0.6214498690880306,0.8445371345489093,0.2651523099550456,True,True,False
144k,vggss,H4rdJlSSt5Y_000030,1677,positive_excess,0.0005178227360308285,0.9280056243169379,0.5907388378574759,0.7033032783786677,0.1895328855164311,True,True,False
144k,vggss,H4rdJlSSt5Y_000030,1677,aud_minus_iqr,0.0005900770712909441,0.9288100480381716,0.5826327057734783,0.7021565506527636,0.1895328855164311,True,True,False
144k,vggss,H4rdJlSSt5Y_000030,1677,aud_times_one_minus_query,0.001794315992292871,0.9240384668584395,0.843641889620319,0.8670695997667357,0.1895328855164311,True,True,False
144k,vggss,H4rdJlSSt5Y_000030,1677,aud_query_ratio,0.0010958574181117535,0.9239083670976223,0.56056802119822,0.7256022473559567,0.1895328855164311,True,True,False
144k,vggss,HDvPMEU33HM_000089,1690,positive_excess,0.32058338438776585,0.2173482045603692,0.4999066642790087,0.6279400078741215,-0.13461823569240183,False,False,True
144k,vggss,HDvPMEU33HM_000089,1690,aud_minus_iqr,0.3193668920484049,0.21734639045334175,0.4999066642790087,0.6279400078741215,-0.13461823569240183,False,False,True
144k,vggss,HDvPMEU33HM_000089,1690,aud_times_one_minus_query,0.4044777494938111,0.19053678169218072,0.8665521676135901,0.9032735037661745,-0.13461823569240183,False,False,True
144k,vggss,HDvPMEU33HM_000089,1690,aud_query_ratio,0.3046878020162197,0.1710588760027493,0.5956674860674731,0.6546386502413093,-0.13461823569240183,False,False,True
144k,vggss,HLsRePLObfI_000030,1704,positive_excess,0.7059150121908742,0.9857012905202693,0.636662407564166,0.7527831744539768,0.19562339427415604,True,True,False
144k,vggss,HLsRePLObfI_000030,1704,aud_minus_iqr,0.7146426332288401,0.9856341173721782,0.6476554173121869,0.7578473866660096,0.19562339427415604,True,True,False
144k,vggss,HLsRePLObfI_000030,1704,aud_times_one_minus_query,0.660564611633577,0.9855581081119975,0.7562159116520171,0.8252524984458824,0.19562339427415604,True,True,False
144k,vggss,HLsRePLObfI_000030,1704,aud_query_ratio,0.6590783699059561,0.9855626027219676,0.6343384637772205,0.770450378724097,0.19562339427415604,True,True,False
144k,vggss,HOhpKjQWqxc_000030,1713,positive_excess,0.5262884560694779,0.35050096123773655,0.5333006384166573,0.4957249178414544,-0.2163404866603587,False,False,True
144k,vggss,HOhpKjQWqxc_000030,1713,aud_minus_iqr,0.5158562605277934,0.34636066001064053,0.5787711729143097,0.499465422488348,-0.2163404866603587,False,False,True
144k,vggss,HOhpKjQWqxc_000030,1713,aud_times_one_minus_query,0.6196415263568548,0.4855465474595284,0.6162307778885917,0.48341456012967154,-0.2163404866603587,False,False,True
